"callret-0"	"c1l"	"c2l"	"c3l"	"c4l"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Improving Customer-Centered Services"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Improving Customer-Centered Services"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Management"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Management"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Taking"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Taking"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Analysis"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Analysis"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Management"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Taking"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Taking"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Hospitals"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Hospitals"
"What uses Medical and Nursing Knowledge?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Radiological Procedures"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Management"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Management"
"What updates Finding?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Lab Examinations"
"What updates Order?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Lab Examinations"
"What updates Order?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Nursing Procedures"
"What updates Order?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Prophylaxis"
"What updates Order?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Radiological Procedures"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Improving Customer-Centered Services"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Improving Customer-Centered Services"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Management"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Management"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information and Knowledge Logistics"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Health Care Networks"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Health Care Networks"
"What updates Medical Procedure?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Lab Examinations"
"What updates Medical Procedure?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Nursing Procedures"
"What entity type component 3LGM² Data Transmission Connection?"	"3LGM² Physical Tool Layer"	"3LGM² Tool Class"	"3LGM² Transmitting Medium"	"Information Management Entity Type"
"What entity type component 3LGM² Information Process?"	"3LGM² Domain Layer"	"3LGM² Entity Type"	"3LGM² Organizational Unit"	"Information Management Entity Type"
"What entity type component 3LGM²-S Invoking Interface?"	"3LGM²-S"	"3LGM²-S Providing Interface"	"3LGM²-S Service"	"3LGM²-S Service Class"
"What entity type component Database Server?"	"2-tier Architecture"	"Application Server"	"Architectural Style of The Physical Tool Layer"	"Client-Server Architecture"
"What function component 3LGM² Enterprise Function?"	"3LGM² Domain Layer"	"3LGM² Entity Type"	"3LGM² Organizational Unit"	"Information Management Entity Type"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Hospital Function"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Hospital Function"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Decision Making and Patient Information"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Decision Making and Patient Information"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Improving Customer-Centered Services"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Improving Customer-Centered Services"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Incident Taking"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Incident Taking"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Hospitals"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Information Management in Hospitals"
"What function component Order Entry?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Decision Making Planning and Organization of Patient Treatment"
"What function component Order Entry?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Decision Making Planning and Organization of Patient Treatment"
